
	ALL WATERSHED COMBINED

Y[i] ~ dbern(p[i])
    logit(p[i]) <- alpha[Watshed[i]] + 
      beta[1]* Agr[i] +
      beta[2] * Elv[i] +
      beta[3] * Area[i] +
      beta[4] * Slop[i] +
      beta[5] * s[i]
    
    # connectivity summed over j
    # subtract c[i,Segment_id[i]] from the sum; self-connection removal
    s[i] <- sum(c[i,]) - c[i, Segment_id[i]]
    
    # connectivity measure for a specific pair of i and j
    for(j in 1:N_site) {
      c[i,j] <- exp(u[i,j] + d[i,j])
      
      u[i,j] <- -alpha[1] * U[Segment_id[i], j]
      d[i,j] <- -alpha[2] * D[Segment_id[i], j]


                mean          sd          2.5%           50%      97.5% Rhat n.eff
s[211]    5.14670349  5.33726144  2.309689e+00  4.1650250000 12.9528225 1.14  1329
s[212]    4.60104138  5.15336310  2.062198e+00  3.6688700000 12.0797950 1.15  1330
s[213]    6.92870489  6.91896980  3.548702e+00  5.4944750000 18.2251300 1.12  1330
s[214]    6.92870489  6.91896980  3.548702e+00  5.4944750000 18.2251300 1.12  1330
s[215]    9.86595656  7.68402526  5.612841e+00  8.2997750000 22.3038125 1.11  1325
s[216]    9.96031121  7.71868628  5.669906e+00  8.3850000000 22.5374175 1.11  1323
s[217]    9.23424397  8.83272022  3.764583e+00  7.4440550000 24.0118300 1.09  1324
s[218]   10.45162462  8.52615797  5.657766e+00  8.6826700000 24.9880525 1.10  1318
s[219]    8.83359983  9.39363166  3.954450e+00  6.9390550000 23.8642525 1.10  1295
s[220]    8.15866555  9.28514961  3.013661e+00  6.1980250000 23.6507475 1.09  1309
s[221]    5.44540668 13.37145991  1.327083e+00  3.3114250000 19.8499075 1.16  1252
s[222]    5.66767352 13.41787754  1.749899e+00  3.7054500000 19.0011700 1.17  1246
s[223]    5.45399817 13.45279164  1.640354e+00  3.4992700000 18.5200600 1.17  1243
s[224]    8.10767458  9.57904030  3.279488e+00  6.1352350000 22.9394275 1.10  1285
s[225]   11.15036957 12.48558044  5.650680e+00  8.8139050000 28.4840625 1.13  1283
s[226]    2.87651261  1.14790440  1.530750e+00  2.6705500000  5.5782650 1.02  1526
s[227]    1.26773627  1.11490851  2.625372e-01  0.9746715000  4.0822790 1.02  1550
s[228]    0.93707201  2.51279213  1.619303e-01  0.6101375000  3.4391972 1.23  1401
s[229]    3.18439511  3.15160014  1.304500e+00  2.6049650000  8.0887222 1.17  1412
s[230]    3.70004735  3.92413825  1.581206e+00  2.8304500000 10.3176300 1.13  1297
s[231]    3.90129971  3.87922601  1.903887e+00  3.0444500000 10.4399175 1.13  1296
s[232]    5.08232616  5.56828929  2.003340e+00  4.0356400000 13.3298200 1.13  1324
s[233]    7.24305863  8.34652755  2.072478e+00  5.4701750000 21.7258100 1.09  1337
s[234]    7.50045916  7.33958243  3.566703e+00  5.9504000000 19.9058150 1.11  1334
s[235]    6.39100463  6.21963722  2.810442e+00  5.2403750000 15.9008425 1.12  1330
s[236]    5.45644940  6.64635161  1.859948e+00  4.0892300000 16.1592850 1.12  1328
s[237]    3.72461109  2.07752616  1.849855e+00  3.1802100000  8.7074397 1.00  1321
s[238]    7.23002875  8.48408063  2.030011e+00  5.3467150000 22.0728600 1.09  1338
s[239]   10.53949169  8.47398480  5.842436e+00  8.7630000000 24.9844300 1.10  1318
s[240]   10.53949169  8.47398480  5.842436e+00  8.7630000000 24.9844300 1.10  1318
